ID,Ecol,Geo,Clades,Ploidy,Euploidy,Zygosity,group
BFC,Fermentation,Europe,1. Wine/European ,2,euploid,homozygous,1
AGL,Wine,Europe,1. Wine/European ,1,euploid,homozygous,1
ABE,Human clinical,NA,1. Wine/European ,1,euploid,homozygous,1
SACE_YAM,Human clinical,NA,1. Wine/European ,2,euploid,homozygous,1
BKI,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
ABR,Soil,Europe,1. Wine/European ,1,euploid,homozygous,1
ABQ,Soil,Europe,1. Wine/European ,1,euploid,homozygous,1
BNV,Soil,Europe,1. Wine/European ,2,euploid,homozygous,1
BPB,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BPT,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BQM,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BFK,Tree,Europe,1. Wine/European ,2,euploid,homozygous,1
BQS,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BQE,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
AIN,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BQR,Water,Europe,1. Wine/European ,2,euploid,heterozygous,1
BLT,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
AIF,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
AQR,Wine,Europe,1. Wine/European ,2,aneu,heterozygous,1
BPF,Fruit,NA,1. Wine/European ,2,euploid,heterozygous,1
BLR,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BNL,Soil,Europe,1. Wine/European ,2,euploid,heterozygous,1
BPK,Water,Europe,1. Wine/European ,2,euploid,heterozygous,1
BKQ,Unknown,Europe,1. Wine/European ,2,euploid,heterozygous,1
BPG,Unknown,Africa,1. Wine/European ,2,aneu,homozygous,1
BPH,Unknown,Africa,1. Wine/European ,2,aneu,homozygous,1
BQT,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
APT,Wine,Europe,1. Wine/European ,2,aneu,homozygous,1
BID,Bakery,Europe,1. Wine/European ,2,euploid,homozygous,1
AGI,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BHV,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BNE,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BLA,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BKT,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BIA,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BKL,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BIB,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
BKK,Unknown,Europe,1. Wine/European ,2,euploid,homozygous,1
BLQ,Wine,Europe,1. Wine/European ,2,aneu,homozygous,1
SACE_YBY,Wine,Europe,1. Wine/European ,2,euploid,homozygous,1
SACE_YDF,Human clinical,NA,1. Wine/European ,2,euploid,homozygous,1
SACE_YDO,Distillery,North_America,1. Wine/European ,2,euploid,homozygous,1
AHG,Fruit,NA,1. Wine/European ,1,euploid,homozygous,1
AII,Palm wine,Africa,1. Wine/European ,2,aneu,heterozygous,1
AHD,Wine,NA,1. Wine/European ,1,aneu,homozygous,1
AGF,Wine,NA,1. Wine/European ,1,euploid,homozygous,1
AHE,Wine,NA,1. Wine/European ,1,aneu,homozygous,1
AQQ,Wine,Europe,1. Wine/European ,2,aneu,heterozygous,1
ASG,Human clinical,Europe,1. Wine/European ,2,aneu,homozygous,1
ASD,Beer,NA,1. Wine/European ,2,euploid,heterozygous,1
ASE,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
AIQ,Fermentation,Europe,1. Wine/European ,2,euploid,heterozygous,1
BLG,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
BLI,Wine,Europe,1. Wine/European ,2,euploid,heterozygous,1
ACP,Wine,Europe,1. Wine/European (subclade 1),1,euploid,homozygous,1
BQA,Wine,Europe,1. Wine/European (subclade 1),2,euploid,homozygous,1
AMA,Fruit,Europe,1. Wine/European (subclade 1),3,euploid,heterozygous,1
