strains	pval	-logP
AAC	0.6562	0.421289658455136
AAE	0.2781	1.27977451774222
AAG	0.3501	1.04953645102152
AAH	0.5484	0.600750331293978
AAL	0.0314	3.46094738606793
AAM	0.0425	3.15825120305177
AAN	0.005	5.29831736654804
AAP	0.0083	4.79149976417958
AAQ	0.4084	0.895508192691627
AAR	0.0083	4.79149976417958
AAS	0.667	0.404965233066513
AAT	0.122	2.10373423424888
AAV	0.923	0.0801260444792849
ABA	0.1275	2.05963891438366
ABD	0.1146	2.1663074747015
ABF	0.2617	1.34055646944604
ABG	0.9219	0.0813185211775883
ABI	0.101	2.29263476214088
ABK	0.9963	0.00370686193132651
ABL	0.652	0.427710717055484
ABM	0.8121	0.208131793693772
ABP	0.6312	0.460132509450473
ABR	0.456	0.785262469467751
ABS	0.2188	1.51959720843431
ACB	0.1533	1.87535849310437
ACF	0.8251	0.19225068787184
ACH	0.6387	0.448320418414594
ACI	0.3731	0.985908798755025
ACK	0.2602	1.34630471290373
ACL	0.1967	1.62607555358712
ACM	0.3115	1.16635594075463
ACN	0.0343	3.37260992481024
ACP	0.1846	1.68956395691339
ACS	0.3237	1.12793811804994
ACV	0.6955	0.363124267618639
ADB	0.5856	0.535118316335035
ADE	0.4415	0.817577258938122
ADF	0.0774	2.55876849838646
ADI	0.237	1.43969513784701
ADK	0.6367	0.451456691959157
ADL	0.065	2.7333680090865
ADM	0.0536	2.92620621090538
ADQ	0.0963	2.34028696017806
ADR	0.2862	1.25106441185979
ADS	0.9558	0.0452065928380792
ADT	0.025	3.68887945411394
ADV	0.1915	1.65286747036144
AEC	0.8861	0.12092546792888
AEE	0.7047	0.34998309864916
AEF	0.2229	1.50103203859031
AEG	0.2305	1.46750441654543
AEH	0.2428	1.41551721979679
AEI	0.3208	1.13693740298978
AEL	0.4303	0.843272639137583
AEM	0.1776	1.72822144842407
AEN	0.3136	1.15963699050588
AEQ	0.0017	6.37712702791997
AER	0.3887	0.94494744112396
AES	0.34	1.07880966137193
AEV	0.9939	0.00611868100817718
AFA	0.8966	0.109145447260798
AFB	0.9393	0.0626203619816673
AFC	0.0202	3.90207267457498
AFD	0.8224	0.195528384281236
AFE	0.0444	3.11451580954396
AFF	0.0277	3.58632286578884
AFG	0.473	0.748659890490204
AFI	0.1609	1.8269722249838
AFK	0.2119	1.55164081370788
AFL	0.3837	0.95789428172923
AFM	0.2099	1.56112405215555
AFN	0.2497	1.38749508169641
AFP	0.9651	0.0355235560690467
AFQ	0.8141	0.205672070402205
AFR	0.4368	0.828279854551442
AFS	0.4448	0.810130536045764
AFT	0.0238	3.73806969830471
AFV	0.4287	0.846997905378206
AGB	0.8613	0.149312403187009
AGC	0.8627	0.147688272899604
AGG	0.7119	0.339817826872309
AGH	0.6161	0.484345990961612
AGI	0.8367	0.178289695680584
AGK	0.0708	2.64789627828246
AGL	0.7558	0.279978488066748
AGM	0.2794	1.27511083215928
AGN	0.5074	0.678455631816956
AGP	0.6355	0.453343188352628
AGR	0.27	1.30933331998376
AGS	0.3808	0.965480976064927
AGT	0.6532	0.425871917885827
AGV	0.7507	0.28674917440318
AHA	0.3018	1.19799073264839
AHB	0.1309	2.03332160606628
AHC	0.9729	0.0274739770007551
AHD	0.2936	1.22553698224178
AHE	0.4664	0.762711643945854
AHF	0.455	0.787457860031187
AHG	0.0979	2.32380872944567
AHH	0.4273	0.850268936332158
AHI	0.6891	0.372368880618975
AHK	0.4169	0.874908894095386
AHL	0.0363	3.31593753771133
AHM	0.9129	0.0911289334111019
AHQ	0.351	1.04696905551627
AHS	0.1803	1.71313314877287
AHV	0.0083	4.79149976417958
AIA	0.2286	1.47578152762143
AIB	0.12	2.12026353620009
AIC	0.0836	2.48171175889148
AID	0.9905	0.00954541284353139
AIE	0.9809	0.0192847614118671
AIG	0.968	0.0325231917055601
AII	0.1654	1.79938849639255
AIK	0.9793	0.0209172482553883
AIM	0.6183	0.480781502417614
AIN	0.9716	0.0288110818541196
AIQ	0.4134	0.883339631734469
AIT	0.1156	2.15761932274386
AKC	0.2916	1.23237227884763
AKE	0.1776	1.72822144842407
AKG	0.135	2.00248050054371
AKH	0.2946	1.22213677495361
AKI	0.0289	3.54391368386375
AKL	0.2065	1.57745486658105
AKN	0.5778	0.548527490950002
AKQ	0.0696	2.66499071164176
AKS	0.3106	1.16924936826755
AKT	0.0895	2.41351665370133
ALA	0.6404	0.445662297859578
ALD	0.1742	1.74755121456373
ALG	0.0804	2.52074110279722
ALI	0.8173	0.201749054460053
ALM	0.6283	0.464737519573236
ALN	0.0164	4.11047394415198
ALP	0.2428	1.41551721979679
ALQ	0.9533	0.0478256294826045
ALR	0.9107	0.0935417444083642
ALV	0.0595	2.82177896643055
AMA	0.9888	0.0112631922787107
AMC	0.0363	3.31593753771133
AMD	0.7814	0.246668096361167
AMI	0	Inf
AMM	0.6081	0.497415936856073
AMR	0.3456	1.06247324205224
AMS	0.2714	1.30416153158137
ANA	0.6626	0.411583789116342
ANL	0.4355	0.83126048268958
ANM	0.4577	0.781541331322541
ANP	0.0708	2.64789627828246
ANQ	0.0622	2.777400279237
ANR	0.4256	0.854255340954702
ANS	0.3871	0.949072221398535
APD	0.3068	1.18155920948904
APG	0.186	1.68200860526894
APH	0.692	0.368169323364468
APL	0.464	0.767870726755882
APM	0.1533	1.87535849310437
APP	0.6325	0.458075058380462
APR	0.2378	1.43632529472546
APS	0.5728	0.557218663335701
APT	0.5222	0.649704622717109
AQA	0.4867	0.720107362142728
AQC	0.777	0.25231492861449
AQD	0.3682	0.999129010183159
AQG	0.6482	0.43355598827469
AQH	0.1675	1.78677192771702
AQI	0.0071	4.94766049493487
AQM	0.8497	0.162871932972641
AQR	0.1092	2.21457421567133
AQS	0.1699	1.77254525030425
AQT	0.8942	0.111825815182257
ARA	0.8569	0.154434053307064
ARB	0.766	0.266573109241546
ARC	0.9447	0.0568878622070484
ARE	0.7059	0.348281694580711
ARG	0.3098	1.17182835099937
ARH	0.3471	1.0581423561144
ARI	0.3002	1.20330635978278
ARK	0.29	1.23787435600162
ARL	0.833	0.182721636815294
ARN	0.7852	0.241816816579831
ARP	0.2575	1.35673555887835
ARQ	0.2248	1.4925441609626
ARR	0.1134	2.17683388768849
ARS	0.3371	1.08737565674212
ARV	0.6283	0.464737519573236
ASA	0.7465	0.292359662002892
ASB	0.8954	0.110484733175272
ASC	0.4598	0.776963666653056
ASE	0.8667	0.143062382841838
ASG	0.1932	1.64402935720372
ASH	0.7167	0.333097935982264
ASL	0.0149	4.20639406603072
ASM	0.6269	0.466968240702214
ASN	0.0329	3.41428262121081
ASS	0.2546	1.36806159285883
AST	0.6587	0.41748708333549
ASV	0.3218	1.13382504442385
ATA	0.2529	1.37476112530622
ATB	0.8478	0.1651105200636
ATC	0.3304	1.10745123733531
ATD	0.1453	1.9289547084059
ATH	0.4504	0.797619202156656
ATM	0.5243	0.64569123940365
ATN	0.3688	0.997500787299698
ATQ	0.4021	0.911054465078909
ATR	0.0202	3.90207267457498
ATV	0.8871	0.119797563455596
AVB	0.2487	1.39150792817278
AVH	0.9473	0.0541394461006482
AVK	0.1412	1.957577953923
AVN	0.3389	1.08205020036913
AVQ	0.4228	0.860856024986055
BAA	0.2585	1.35285958503365
BAF	0.2641	1.33142745967905
BAG	0.7266	0.319379159195035
BAH	0.7593	0.275358322762949
BAI	0.5455	0.606052473709012
BAK	0.5957	0.518018094347495
BAL	0.7027	0.352825220783985
BAN	0.5603	0.579282924410898
BAP	0.5118	0.669821355256449
BAQ	0.5519	0.594388408536682
BAS	0.344	1.06711362160874
BBA	0.7746	0.255408511901485
BBB	0.0815	2.50715225873532
BBE	0.5539	0.590771113943079
BBF	0.1044	2.2595256035336
BBH	0.5194	0.655080979753489
BBI	0.1442	1.93655405413129
BBK	0.9022	0.102919054007842
BBL	0.4915	0.710293339394916
BBM	0.6465	0.436182080770225
BBR	0.4851	0.723400223730966
BBS	0.6261	0.468245176230872
BBT	0.8805	0.127265351045876
BCB	0.7719	0.258900271026329
BCC	0.9774	0.0228592941460826
BCD	0.9742	0.0261386576096948
BCE	0.5638	0.573055700302125
BCF	0.8464	0.166763217878102
BCG	0.677	0.390084006069862
BCH	0.1818	1.70484809723876
BCI	0.9115	0.0926636848634193
BCK	0.6225	0.474011650643274
BCL	0.1533	1.87535849310437
BCM	0.6576	0.419158435240167
BCN	0.3563	1.03198220637035
BCP	0.6706	0.399582444950009
BCQ	0.4807	0.732511904082222
BCR	0.085	2.46510402249182
BCS	0.0444	3.11451580954396
BCT	0.464	0.767870726755882
BCV	0.6413	0.44425791282732
BDB	0.4342	0.834250021537946
BDD	0.5927	0.523066910188345
